,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
415,2017-01-19,72873.44545174777,1108.1077522171827,170322.0588596041,72873.44545174777,72873.44545174777,11531.363582414586,11531.363582414586,11531.363582414586,-938.9798368900806,-938.9798368900806,-938.9798368900806,12470.343419304667,12470.343419304667,12470.343419304667,0.0,0.0,0.0,84404.80903416236
416,2017-01-20,73391.9752509741,-6490.602090011504,169992.19743629787,73391.9752509741,73391.9752509741,9779.682275756282,9779.682275756282,9779.682275756282,-170.51436508362127,-170.51436508362127,-170.51436508362127,9950.196640839902,9950.196640839902,9950.196640839902,0.0,0.0,0.0,83171.65752673037
417,2017-01-21,73910.50505020043,-3359.213408705511,173229.742892742,73910.50505020043,73910.50505020043,7978.169530215803,7978.169530215803,7978.169530215803,789.8562366064685,789.8562366064685,789.8562366064685,7188.313293609334,7188.313293609334,7188.313293609334,0.0,0.0,0.0,81888.67458041623
418,2017-01-22,74429.03484942675,-13343.515406856724,171445.1162652532,74429.03484942675,74429.03484942675,3415.080159581829,3415.080159581829,3415.080159581829,-804.2575285784304,-804.2575285784304,-804.2575285784304,4219.337688160259,4219.337688160259,4219.337688160259,0.0,0.0,0.0,77844.11500900859
419,2017-01-23,74947.56464865307,-8204.228669155156,167163.94231048136,74947.56464865307,74947.56464865307,1902.5099784183383,1902.5099784183383,1902.5099784183383,817.027741808457,817.027741808457,817.027741808457,1085.4822366098813,1085.4822366098813,1085.4822366098813,0.0,0.0,0.0,76850.07462707142
420,2017-01-24,75466.09444787941,-11462.35621516509,156364.35956413622,75466.09444787941,75466.09444787941,-2130.6518283701203,-2130.6518283701203,-2130.6518283701203,33.80978482593485,33.80978482593485,33.80978482593485,-2164.461613196055,-2164.461613196055,-2164.461613196055,0.0,0.0,0.0,73335.4426195093
421,2017-01-25,75984.62424710573,-15614.172646633335,165610.65751786358,75984.62424710573,75984.62424710573,-5203.259144111813,-5203.259144111813,-5203.259144111813,273.05796731303195,273.05796731303195,273.05796731303195,-5476.317111424845,-5476.317111424845,-5476.317111424845,0.0,0.0,0.0,70781.36510299392
422,2017-01-26,76503.15404633206,-28387.408019104074,156490.77378472366,76503.15404633206,76503.15404633206,-9730.868994895376,-9730.868994895376,-9730.868994895376,-938.9798368941088,-938.9798368941088,-938.9798368941088,-8791.889158001268,-8791.889158001268,-8791.889158001268,0.0,0.0,0.0,66772.28505143669
423,2017-01-27,77021.68384555838,-24874.904867411537,151035.91470230414,77021.68384555838,77021.68384555838,-12220.98249964973,-12220.98249964973,-12220.98249964973,-170.5143650859682,-170.5143650859682,-170.5143650859682,-12050.468134563762,-12050.468134563762,-12050.468134563762,0.0,0.0,0.0,64800.701345908645
424,2017-01-28,77540.21364478472,-33281.4593877697,152880.58110196394,77540.21364478472,77540.21364478472,-14400.574141269648,-14400.574141269648,-14400.574141269648,789.8562366032081,789.8562366032081,789.8562366032081,-15190.430377872855,-15190.430377872855,-15190.430377872855,0.0,0.0,0.0,63139.63950351506
425,2017-01-29,78058.74344401104,-21636.342714629267,147478.09711792687,78058.74344401104,78058.74344401104,-18955.14977394268,-18955.14977394268,-18955.14977394268,-804.257528577011,-804.257528577011,-804.257528577011,-18150.89224536567,-18150.89224536567,-18150.89224536567,0.0,0.0,0.0,59103.59367006835
426,2017-01-30,78577.27324323736,-30401.27004241059,148878.4610752174,78577.27324323736,78577.27324323736,-20056.345339925658,-20056.345339925658,-20056.345339925658,817.0277418090338,817.0277418090338,817.0277418090338,-20873.37308173469,-20873.37308173469,-20873.37308173469,0.0,0.0,0.0,58520.927903311705
427,2017-01-31,79095.80304246373,-23031.73677104161,145659.6306003034,79095.80304246373,79095.80304246373,-23269.61217879305,-23269.61217879305,-23269.61217879305,33.80978482414327,33.80978482414327,33.80978482414327,-23303.421963617195,-23303.421963617195,-23303.421963617195,0.0,0.0,0.0,55826.19086367068
428,2017-02-01,79614.33284169002,-37996.74333244536,138796.60016555616,79614.33284169002,79614.33284169002,-25119.105923244035,-25119.105923244035,-25119.105923244035,273.0579673176,273.0579673176,273.0579673176,-25392.163890561635,-25392.163890561635,-25392.163890561635,0.0,0.0,0.0,54495.22691844599
