,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
504,2017-04-18,120345.58389343166,-49246.101565911486,141371.00694337668,120345.58389343166,120345.58389343166,-70294.88320653151,-70294.88320653151,-70294.88320653151,1068.4590929339456,1068.4590929339456,1068.4590929339456,-71363.34229946545,-71363.34229946545,-71363.34229946545,0.0,0.0,0.0,50050.70068690015
505,2017-04-19,121001.1484025892,-50065.912915648194,162880.76808819373,121001.1484025892,121001.1484025892,-69831.63004916256,-69831.63004916256,-69831.63004916256,-163.6702862393544,-163.6702862393544,-163.6702862393544,-69667.9597629232,-69667.9597629232,-69667.9597629232,0.0,0.0,0.0,51169.51835342664
506,2017-04-20,121656.71291174687,-38591.16875316711,151398.40337486833,121656.71291174687,121656.71291174687,-69177.67625192051,-69177.67625192051,-69177.67625192051,-1315.9441597433797,-1315.9441597433797,-1315.9441597433797,-67861.73209217713,-67861.73209217713,-67861.73209217713,0.0,0.0,0.0,52479.036659826364
507,2017-04-21,122312.27742090443,-38309.01668707816,149912.87909798208,122312.27742090443,122312.27742090443,-66349.90763500798,-66349.90763500798,-66349.90763500798,-423.15502209379616,-423.15502209379616,-423.15502209379616,-65926.75261291418,-65926.75261291418,-65926.75261291418,0.0,0.0,0.0,55962.369785896444
508,2017-04-22,122967.84193006197,-39242.63647016604,152327.20948858987,122967.84193006197,122967.84193006197,-63499.34292223769,-63499.34292223769,-63499.34292223769,348.8284693145478,348.8284693145478,348.8284693145478,-63848.171391552234,-63848.171391552234,-63848.171391552234,0.0,0.0,0.0,59468.499007824284
509,2017-04-23,123623.4064392196,-34436.27431324059,155567.77022688885,123623.4064392196,123623.4064392196,-62695.132047336636,-62695.132047336636,-62695.132047336636,-1080.2426012269075,-1080.2426012269075,-1080.2426012269075,-61614.88944610973,-61614.88944610973,-61614.88944610973,0.0,0.0,0.0,60928.274391882966
510,2017-04-24,124278.9709483772,-25727.110047073533,163439.48097551666,124278.9709483772,124278.9709483772,-57654.41285167777,-57654.41285167777,-57654.41285167777,1565.7245070610993,1565.7245070610993,1565.7245070610993,-59220.137358738866,-59220.137358738866,-59220.137358738866,0.0,0.0,0.0,66624.55809669943
511,2017-04-25,124934.53545753474,-29743.87046525364,165400.61935349184,124934.53545753474,124934.53545753474,-55593.462905856264,-55593.462905856264,-55593.462905856264,1068.4590929310964,1068.4590929310964,1068.4590929310964,-56661.921998787366,-56661.921998787366,-56661.921998787366,0.0,0.0,0.0,69341.07255167849
512,2017-04-26,125590.09996669239,-24188.519432151283,172690.0252115089,125590.09996669239,125590.09996669239,-54106.99914636915,-54106.99914636915,-54106.99914636915,-163.67028624183425,-163.67028624183425,-163.67028624183425,-53943.328860127316,-53943.328860127316,-53943.328860127316,0.0,0.0,0.0,71483.10082032325
513,2017-04-27,126245.66447584998,-19933.990521754902,171679.84511621215,126245.66447584998,126245.66447584998,-52388.61578224172,-52388.61578224172,-52388.61578224172,-1315.944159746383,-1315.944159746383,-1315.944159746383,-51072.671622495334,-51072.671622495334,-51072.671622495334,0.0,0.0,0.0,73857.04869360826
514,2017-04-28,126901.2289850076,-16229.022850888257,179928.8073270809,126901.2289850076,126901.2289850076,-48486.63987272564,-48486.63987272564,-48486.63987272564,-423.1550220959932,-423.1550220959932,-423.1550220959932,-48063.48485062965,-48063.48485062965,-48063.48485062965,0.0,0.0,0.0,78414.58911228197
515,2017-04-29,127556.79349416516,-14054.042878685508,181119.53246109406,127556.79349416516,127556.79349416516,-44585.53165866018,-44585.53165866018,-44585.53165866018,348.82846931613307,348.82846931613307,348.82846931613307,-44934.36012797631,-44934.36012797631,-44934.36012797631,0.0,0.0,0.0,82971.26183550499
516,2017-04-30,128212.35800332275,-11603.22125754553,179372.2139420744,128212.35800332275,128212.35800332275,-42788.872864333054,-42788.872864333054,-42788.872864333054,-1080.2426012257167,-1080.2426012257167,-1080.2426012257167,-41708.630263107334,-41708.630263107334,-41708.630263107334,0.0,0.0,0.0,85423.4851389897
517,2017-05-01,128867.92251248038,1885.3081182071098,194730.92894382455,128867.92251248038,128867.92251248038,-36848.18588355683,-36848.18588355683,-36848.18588355683,1565.7245070621682,1565.7245070621682,1565.7245070621682,-38413.910390619,-38413.910390619,-38413.910390619,0.0,0.0,0.0,92019.73662892355
518,2017-05-02,129523.48702163793,-2127.448876482057,192965.05350742544,129523.48702163793,129523.48702163793,-34013.04960729683,-34013.04960729683,-34013.04960729683,1068.4590929282474,1068.4590929282474,1068.4590929282474,-35081.50870022507,-35081.50870022507,-35081.50870022507,0.0,0.0,0.0,95510.43741434111
519,2017-05-03,130179.05153079552,519.1724510016413,192451.54455613196,130179.05153079552,130179.05153079552,-31909.39335153896,-31909.39335153896,-31909.39335153896,-163.67028624431396,-163.67028624431396,-163.67028624431396,-31745.723065294645,-31745.723065294645,-31745.723065294645,0.0,0.0,0.0,98269.65817925656
520,2017-05-04,130834.61603995315,11375.497978055253,198777.37950573664,130834.61603995315,130834.61603995315,-29758.987070772328,-29758.987070772328,-29758.987070772328,-1315.9441597461046,-1315.9441597461046,-1315.9441597461046,-28443.04291102622,-28443.04291102622,-28443.04291102622,0.0,0.0,0.0,101075.62896918082
521,2017-05-05,131490.1805491107,2927.1528456183423,200271.5362536586,131490.1805491107,131490.1805491107,-25634.433207060833,-25634.433207060833,-25634.433207060833,-423.1550220961699,-423.1550220961699,-423.1550220961699,-25211.27818496466,-25211.27818496466,-25211.27818496466,0.0,0.0,0.0,105855.74734204986
522,2017-05-06,132145.7450582683,21559.30980303042,211736.66698396305,132145.7450582683,132145.7450582683,-21739.810734144685,-21739.810734144685,-21739.810734144685,348.82846931344335,348.82846931344335,348.82846931344335,-22088.63920345813,-22088.63920345813,-22088.63920345813,0.0,0.0,0.0,110405.93432412362
523,2017-05-07,132801.30956742592,15266.841175915923,213646.68883923127,132801.30956742592,132801.30956742592,-20193.03500180782,-20193.03500180782,-20193.03500180782,-1080.2426012276771,-1080.2426012276771,-1080.2426012276771,-19112.792400580143,-19112.792400580143,-19112.792400580143,0.0,0.0,0.0,112608.2745656181
524,2017-05-08,133456.87407658348,21830.196474896922,229751.28226806532,133456.87407658348,133456.87407658348,-14754.193066336153,-14754.193066336153,-14754.193066336153,1565.7245070641989,1565.7245070641989,1565.7245070641989,-16319.917573400353,-16319.917573400353,-16319.917573400353,0.0,0.0,0.0,118702.68101024732
525,2017-05-09,134112.43858574107,20654.942095113194,221346.2017447334,134112.43858574107,134112.43858574107,-12675.332995734814,-12675.332995734814,-12675.332995734814,1068.4590929328963,1068.4590929328963,1068.4590929328963,-13743.79208866771,-13743.79208866771,-13743.79208866771,0.0,0.0,0.0,121437.10559000625
526,2017-05-10,134768.0030948987,22202.733593914043,224105.64314364185,134768.0030948987,134768.0030948987,-11578.596986996672,-11578.596986996672,-11578.596986996672,-163.67028624245896,-163.67028624245896,-163.67028624245896,-11414.926700754213,-11414.926700754213,-11414.926700754213,0.0,0.0,0.0,123189.40610790203
527,2017-05-11,135423.56771749293,29734.90787541836,225695.54734684303,135423.56771749293,135423.56771749293,-10675.720316819905,-10675.720316819905,-10675.720316819905,-1315.944159744681,-1315.944159744681,-1315.944159744681,-9359.776157075225,-9359.776157075225,-9359.776157075225,0.0,0.0,0.0,124747.84740067302
528,2017-05-12,136079.13234008715,30866.28674242504,222885.92115954557,136079.13234008715,136079.13234008715,-8023.200702999085,-8023.200702999085,-8023.200702999085,-423.15502209634644,-423.15502209634644,-423.15502209634644,-7600.045680902739,-7600.045680902739,-7600.045680902739,0.0,0.0,0.0,128055.93163708807
529,2017-05-13,136734.69696268142,30565.995299868362,227828.77570503473,136734.69696268142,136734.69696268142,-5803.28331367966,-5803.28331367966,-5803.28331367966,348.8284693107538,348.8284693107538,348.8284693107538,-6152.111782990414,-6152.111782990414,-6152.111782990414,0.0,0.0,0.0,130931.41364900177
530,2017-05-14,137390.26158527564,35362.17889044493,228764.44728933126,137390.26158527564,137390.26158527564,-6106.815341125449,-6106.815341125449,-6106.815341125449,-1080.2426012276205,-1080.2426012276205,-1080.2426012276205,-5026.572739897829,-5026.572739897829,-5026.572739897829,0.0,0.0,0.0,131283.4462441502
531,2017-05-15,138045.8262078699,42115.66740187675,236694.86301275966,138045.8262078699,138045.8262078699,-2662.2160686305156,-2662.2160686305156,-2662.2160686305156,1565.7245070617214,1565.7245070617214,1565.7245070617214,-4227.940575692237,-4227.940575692237,-4227.940575692237,0.0,0.0,0.0,135383.61013923938
532,2017-05-16,138701.39083046417,43684.91975681972,228423.89097533532,138701.39083046417,138701.39083046417,-2686.0234993520107,-2686.0234993520107,-2686.0234993520107,1068.4590929300468,1068.4590929300468,1068.4590929300468,-3754.482592282058,-3754.482592282058,-3754.482592282058,0.0,0.0,0.0,136015.36733111215
533,2017-05-17,139356.95545305838,33924.073337641596,221441.06021930344,139356.95545305838,139356.95545305838,-3761.8868028272705,-3761.8868028272705,-3761.8868028272705,-163.6702862409605,-163.6702862409605,-163.6702862409605,-3598.2165165863103,-3598.2165165863103,-3598.2165165863103,0.0,0.0,0.0,135595.06865023111
534,2017-05-18,140012.52007565263,33716.46021952487,230775.85827952423,140012.52007565263,140012.52007565263,-5061.003438286223,-5061.003438286223,-5061.003438286223,-1315.9441597432574,-1315.9441597432574,-1315.9441597432574,-3745.0592785429667,-3745.0592785429667,-3745.0592785429667,0.0,0.0,0.0,134951.5166373664
535,2017-05-19,140668.08469824688,41926.20009610931,232122.26928284,140668.08469824688,140668.08469824688,-4598.280433362654,-4598.280433362654,-4598.280433362654,-423.15502209252406,-423.15502209252406,-423.15502209252406,-4175.125411270129,-4175.125411270129,-4175.125411270129,0.0,0.0,0.0,136069.80426488424
536,2017-05-20,141323.64932084116,39378.92713413309,233299.3191985307,141323.64932084116,141323.64932084116,-4514.338711923804,-4514.338711923804,-4514.338711923804,348.8284693151182,348.8284693151182,348.8284693151182,-4863.167181238923,-4863.167181238923,-4863.167181238923,0.0,0.0,0.0,136809.31060891735
537,2017-05-21,141979.21394343537,32146.35654358207,222967.92888927113,141979.21394343537,141979.21394343537,-6859.387515197031,-6859.387515197031,-6859.387515197031,-1080.2426012274382,-1080.2426012274382,-1080.2426012274382,-5779.144913969593,-5779.144913969593,-5779.144913969593,0.0,0.0,0.0,135119.82642823833
538,2017-05-22,142634.77856602965,41842.9910698288,227991.60445760694,142634.77856602965,142634.77856602965,-5323.188167239519,-5323.188167239519,-5323.188167239519,1565.72450706279,1565.72450706279,1565.72450706279,-6888.912674302309,-6888.912674302309,-6888.912674302309,0.0,0.0,0.0,137311.59039879014
539,2017-05-23,143290.34318862387,40038.14658709907,231551.06710311928,143290.34318862387,143290.34318862387,-7086.5424813367445,-7086.5424813367445,-7086.5424813367445,1068.4590929299395,1068.4590929299395,1068.4590929299395,-8155.001574266684,-8155.001574266684,-8155.001574266684,0.0,0.0,0.0,136203.80070728713
540,2017-05-24,143945.90781121817,29992.924994783476,228574.8780043022,143945.90781121817,143945.90781121817,-9701.150873755894,-9701.150873755894,-9701.150873755894,-163.6702862430836,-163.6702862430836,-163.6702862430836,-9537.480587512811,-9537.480587512811,-9537.480587512811,0.0,0.0,0.0,134244.75693746228
541,2017-05-25,144601.4724338124,30194.185163261594,228534.94637296302,144601.4724338124,144601.4724338124,-12310.817066211725,-12310.817066211725,-12310.817066211725,-1315.944159747406,-1315.944159747406,-1315.944159747406,-10994.87290646432,-10994.87290646432,-10994.87290646432,0.0,0.0,0.0,132290.65536760067
542,2017-05-26,145257.0370564066,33451.17200970576,233910.2754297657,145257.0370564066,145257.0370564066,-12908.259650011047,-12908.259650011047,-12908.259650011047,-423.1550220987201,-423.1550220987201,-423.1550220987201,-12485.10462791233,-12485.10462791233,-12485.10462791233,0.0,0.0,0.0,132348.77740639556
543,2017-05-27,145912.6016790009,35201.440737928424,238361.8592656374,145912.6016790009,145912.6016790009,-13617.633452762424,-13617.633452762424,-13617.633452762424,348.8284693124284,348.8284693124284,348.8284693124284,-13966.461922074852,-13966.461922074852,-13966.461922074852,0.0,0.0,0.0,132294.96822623847
544,2017-05-28,146568.1663015951,30530.856984842074,223038.38938795205,146568.1663015951,146568.1663015951,-16478.775438844412,-16478.775438844412,-16478.775438844412,-1080.2426012272558,-1080.2426012272558,-1080.2426012272558,-15398.532837617155,-15398.532837617155,-15398.532837617155,0.0,0.0,0.0,130089.39086275069
545,2017-05-29,147223.73092418932,32322.15552146485,233319.68764772193,147223.73092418932,147223.73092418932,-15177.386006289596,-15177.386006289596,-15177.386006289596,1565.7245070638594,1565.7245070638594,1565.7245070638594,-16743.110513353455,-16743.110513353455,-16743.110513353455,0.0,0.0,0.0,132046.34491789973
546,2017-05-30,147879.29554678363,33131.22730708323,225670.5819732542,147879.29554678363,147879.29554678363,-16896.576688910212,-16896.576688910212,-16896.576688910212,1068.4590929270903,1068.4590929270903,1068.4590929270903,-17965.035781837305,-17965.035781837305,-17965.035781837305,0.0,0.0,0.0,130982.71885787342
